NOM,ASSOCIANT,belaubre,chouki,cohen,laroze,maurice,moudenc,plancade,sellin,torremocha,deveyrac
PISCINE LEO LAGRANGE,086,,,,,,,,,,
ECOLE BONNEFOY,087,,,,,,,,,,
ECOLE BONNEFOY,088,,,,,,,,,,
ECOLE BONNEFOY,091,,,,,,,,,,
ECOLE BONNEFOY,092,,,,,,,,,,
MATERNELLE MARENGO PERIOLE,093,,,,,,,,,,
MATERNELLE MARENGO PERIOLE,093A,,,,,,,,,,
MATERNELLE MARENGO PERIOLE,093B,,,,,,,,,,
ECOLE P ET M CURIE,094,,,,,,,,,,
ECOLE P ET M CURIE,095,,,,,,,,,,
ECOLE P ET M CURIE,096,,,,,,,,,,
ECOLE P ET M CURIE,097,,,,,,,,,,
ECOLE P ET M CURIE,099,,,,,,,,,,
MATERNELLE REILLE,100,,,,,,,,,,
MATERNELLE REILLE,101,,,,,,,,,,
MATERNELLE REILLE,102,,,,,,,,,,
MATERNELLE REILLE,103,,,,,,,,,,
ECOLE MICHOUN,104,,,,,,,,,,
ECOLE MICHOUN,105,,,,,,,,,,
ECOLE MICHOUN,106,,,,,,,,,,
ECOLE MICHOUN,107,,,,,,,,,,
ECOLE MICHOUN,108,,,,,,,,,,
ECOLE MICHOUN,108A,,,,,,,,,,
ECOLE LA JUNCASSE,109,,,,,,,,,,
ECOLE LA JUNCASSE,110,,,,,,,,,,
ECOLE LA JUNCASSE,111,,,,,,,,,,
ECOLE LA JUNCASSE,112,,,,,,,,,,
ECOLE LA JUNCASSE,113,,,,,,,,,,
ECOLE LA JUNCASSE,113A,,,,,,,,,,
ECOLE SOUPETARD,114,,,,,,,,,,
ECOLE SOUPETARD,116,,,,,,,,,,
ECOLE SOUPETARD,117,,,,,,,,,,
ECOLE ARMAND LEYGUE,118,,,,,,,,,,
ECOLE ARMAND LEYGUE,119,,,,,,,,,,
ECOLE ARMAND LEYGUE,120,,,,,,,,,,
ECOLE ARMAND LEYGUE,121,,,,,,,,,,
ECOLE ARMAND LEYGUE,122,,,,,,,,,,
ECOLE ARMAND LEYGUE,123,,,,,,,,,,
ECOLE JEAN MACE,124,,,,,,,,,,
ECOLE JEAN MACE,124A,,,,,,,,,,
ECOLE JEAN CHAUBET,125,,,,,,,,,,
ECOLE JEAN CHAUBET,126,,,,,,,,,,
ECOLE CHATEAU DE L HERS,127,,,,,,,,,,
ECOLE CHATEAU DE L HERS,128,,,,,,,,,,
ECOLE CHATEAU DE L HERS,129,,,,,,,,,,
ECOLE CHATEAU DE L HERS,130,,,,,,,,,,
ECOLE H GUILLAUMET,131,,,,,,,,,,
ECOLE H GUILLAUMET,132,,,,,,,,,,
ECOLE H GUILLAUMET,133,,,,,,,,,,
ECOLE H GUILLAUMET,134,,,,,,,,,,
ECOLE H GUILLAUMET,134A,,,,,,,,,,
ECOLE LA TERRASSE,135,,,,,,,,,,
ECOLE LA TERRASSE,136,,,,,,,,,,
ECOLE LA TERRASSE,137,,,,,,,,,,
ECOLE LA TERRASSE,138,,,,,,,,,,
ECOLE LA TERRASSE,138A,,,,,,,,,,
MATERNELLE A FRANCE,139,,,,,,,,,,
MATERNELLE A FRANCE,140,,,,,,,,,,
MATERNELLE A FRANCE,141,,,,,,,,,,
ECOLE ANATOLE FRANCE,142,,,,,,,,,,
ECOLE ANATOLE FRANCE,143,,,,,,,,,,
ECOLE ANATOLE FRANCE,144,,,,,,,,,,
ECOLE ANATOLE FRANCE,144A,,,,,,,,,,
ECOLE SAUZELONG,145,,,,,,,,,,
ECOLE SAUZELONG,146,,,,,,,,,,
ECOLE SAUZELONG,147,,,,,,,,,,
ECOLE SAUZELONG,148,,,,,,,,,,
ECOLE RICARDIE,149,,,,,,,,,,
ECOLE RICARDIE,150,,,,,,,,,,
ECOLE RICARDIE,151,,,,,,,,,,
ECOLE ANDRE DASTE,152,,,,,,,,,,
ECOLE ANDRE DASTE,153,,,,,,,,,,
ECOLE ANDRE DASTE,154,,,,,,,,,,
MATERNELLE LEO LAGRANGE,155,,,,,,,,,,
MATERNELLE LEO LAGRANGE,156,,,,,,,,,,
ECOLE JULES JULIEN,157,,,,,,,,,,
ECOLE JULES JULIEN,158,,,,,,,,,,
ECOLE JULES JULIEN,159,,,,,,,,,,
ECOLE JULES JULIEN,160,,,,,,,,,,
ECOLE JULES JULIEN,161,,,,,,,,,,
ECOLE JULES JULIEN,162,,,,,,,,,,
ECOLE JULES JULIEN,163,,,,,,,,,,
ECOLE JULES JULIEN,164,,,,,,,,,,
ECOLE LE PASTEL,165,,,,,,,,,,
ECOLE LE PASTEL,165A,,,,,,,,,,
ECOLE M. BECANNE,166,,,,,,,,,,
ECOLE M. BECANNE,167,,,,,,,,,,
ECOLE MAURICE JACQUIER,168,,,,,,,,,,
ECOLE MAURICE JACQUIER,169,,,,,,,,,,
ECOLE MAURICE JACQUIER,170,,,,,,,,,,
ECOLE MAURICE JACQUIER,171,,,,,,,,,,
ECOLE MAURICE JACQUIER,172,,,,,,,,,,
ECOLE BUFFON,173,,,,,,,,,,
ECOLE BUFFON,174,,,,,,,,,,
ECOLE BUFFON,174A,,,,,,,,,,
ECOLE GEORGES HYON,175,,,,,,,,,,
ECOLE GEORGES HYON,177,,,,,,,,,,
ECOLE GEORGES HYON,178,,,,,,,,,,
ECOLE SYLVAIN DAURIAC,179,,,,,,,,,,
ECOLE SYLVAIN DAURIAC,180,,,,,,,,,,
ECOLE SYLVAIN DAURIAC,181,,,,,,,,,,
ECOLE SYLVAIN DAURIAC,182,,,,,,,,,,
CSC ALBAN MINVILLE,184,,,,,,,,,,
CSC ALBAN MINVILLE,186,,,,,,,,,,
CSC ALBAN MINVILLE,188,,,,,,,,,,
MATERNELLE DIDIER DAURAT,189,,,,,,,,,,
MATERNELLE DIDIER DAURAT,190,,,,,,,,,,
MATERNELLE DIDIER DAURAT,191,,,,,,,,,,
MATERNELLE DIDIER DAURAT,191A,,,,,,,,,,
MATERNELLE DES VERGERS,192,,,,,,,,,,
MATERNELLE DES VERGERS,193,,,,,,,,,,
MATERNELLE DES VERGERS,193A,,,,,,,,,,
ECOLE DE LESSEPS,194,,,,,,,,,,
ECOLE DE LESSEPS,195,,,,,,,,,,
ECOLE VIOLLET LE DUC,195A,,,,,,,,,,
ECOLE VIOLLET LE DUC,195B,,,,,,,,,,
ECOLE PAUL BERT,196,,,,,,,,,,
ECOLE PAUL BERT,197,,,,,,,,,,
ECOLE PAUL BERT,198,,,,,,,,,,
ECOLE PAUL BERT,198A,,,,,,,,,,
ECOLE PAUL BERT,198B,,,,,,,,,,
FOYER 3° AGE,199,,,,,,,,,,
ECOLE LARDENNE,200,,,,,,,,,,
ECOLE LARDENNE,200A,,,,,,,,,,
ECOLE LARDENNE,201,,,,,,,,,,
ECOLE LARDENNE,201A,,,,,,,,,,
ECOLE LARDENNE,201B,,,,,,,,,,
ECOLE CHATEAU D'ANCELY,202,,,,,,,,,,
ECOLE LITTRE,203,,,,,,,,,,
ECOLE LITTRE,203A,,,,,,,,,,
ECOLE LITTRE,203B,,,,,,,,,,
ECOLE CHATEAU D'ANCELY,204,,,,,,,,,,
ECOLE CHATEAU D'ANCELY,205,,,,,,,,,,
ECOLE JULES FERRY,206,,,,,,,,,,
ECOLE JULES FERRY,207,,,,,,,,,,
ECOLE JULES FERRY,208,,,,,,,,,,
ECOLE JULES FERRY,209,,,,,,,,,,
ECOLE LALANDE,210,,,,,,,,,,
ECOLE LALANDE,211,,,,,,,,,,
ECOLE LALANDE,211A,,,,,,,,,,
MATERNELLE JEAN DIEUZAIDE,212,,,,,,,,,,
ECOLE DU GRAND SELVE,213,,,,,,,,,,
ECOLE ERNEST RENAN,214,,,,,,,,,,
ECOLE ERNEST RENAN,215,,,,,,,,,,
ECOLE ERNEST RENAN,216,,,,,,,,,,
ECOLE ERNEST RENAN,216A,,,,,,,,,,
ECOLE CUVIER,217,,,,,,,,,,
ECOLE CUVIER,218,,,,,,,,,,
ECOLE CUVIER,219,,,,,,,,,,
ECOLE CUVIER,220,,,,,,,,,,
ECOLE CUVIER,222,,,,,,,,,,
ECOLE CUVIER,223,,,,,,,,,,
ECOLE LA MAOURINE,224,,,,,,,,,,
ECOLE LA MAOURINE,225,,,,,,,,,,
ECOLE LA MAOURINE,226,,,,,,,,,,
